F_h,h
0.184124,-31051.2
0.18449,-31032.1
0.184858,-31013.1
0.185225,-30994.1
0.185592,-30975.1
0.185959,-30956.1
0.186327,-30937.1
0.186695,-30918
0.187063,-30899
0.187431,-30880
0.187799,-30861
0.188167,-30842
0.188536,-30823
0.188904,-30804
0.189273,-30784.9
0.189642,-30765.9
0.190013,-30746.9
0.190381,-30727.9
0.190751,-30708.9
0.191121,-30689.9
0.191491,-30670.8
0.19186,-30651.8
0.192232,-30632.8
0.192602,-30613.8
0.192972,-30594.8
0.193343,-30575.8
0.193714,-30556.8
0.194085,-30537.7
0.194456,-30518.7
0.194829,-30499.7
0.195199,-30480.7
0.195571,-30461.7
0.195943,-30442.7
0.196316,-30423.6
0.196688,-30404.6
0.19706,-30385.6
0.197433,-30366.6
0.197805,-30347.6
0.198178,-30328.6
0.198552,-30309.5
0.198925,-30290.5
0.199299,-30271.5
0.199672,-30252.5
0.200044,-30233.5
0.200419,-30214.5
0.200793,-30195.5
0.201168,-30176.4
0.201541,-30157.4
0.201917,-30138.4
0.20229,-30119.4
0.202665,-30100.4
0.20304,-30081.4
0.203415,-30062.3
0.203791,-30043.3
0.204166,-30024.3
0.204542,-30005.3
0.204917,-29986.3
0.205293,-29967.3
0.20567,-29948.2
0.206046,-29929.2
0.206423,-29910.2
0.206799,-29891.2
0.207175,-29872.2
0.207552,-29853.2
0.207929,-29834.2
0.208306,-29815.1
0.208683,-29796.1
0.20906,-29777.1
0.209438,-29758.1
0.209816,-29739.1
0.210194,-29720.1
0.210571,-29701
0.21095,-29682
0.211328,-29663
0.211706,-29644
0.212085,-29625
0.212463,-29606
0.212842,-29587
0.213221,-29567.9
0.2136,-29548.9
0.21398,-29529.9
0.214359,-29510.9
0.214739,-29491.9
0.215118,-29472.9
0.215498,-29453.8
0.215879,-29434.8
0.216258,-29415.8
0.216639,-29396.8
0.217019,-29377.8
0.217399,-29358.8
0.217781,-29339.8
0.218162,-29320.7
0.218542,-29301.7
0.218924,-29282.7
0.219305,-29263.7
0.219686,-29244.7
0.220068,-29225.7
0.220449,-29206.6
0.220831,-29187.6
0.221213,-29168.6
0.221596,-29149.6
0.221977,-29130.6
0.22236,-29111.6
0.222743,-29092.5
0.223125,-29073.5
0.223508,-29054.5
0.223891,-29035.5
0.224274,-29016.5
0.224658,-28997.5
0.225041,-28978.5
0.225424,-28959.4
0.225807,-28940.4
0.226191,-28921.4
0.226575,-28902.4
0.226959,-28883.4
0.227343,-28864.4
0.227727,-28845.3
0.228112,-28826.3
0.228497,-28807.3
0.22888,-28788.3
0.229265,-28769.3
0.229651,-28750.3
0.230035,-28731.2
0.230421,-28712.2
0.230805,-28693.2
0.231191,-28674.2
0.231577,-28655.2
0.231963,-28636.2
0.232348,-28617.2
0.232734,-28598.1
0.23312,-28579.1
0.233506,-28560.1
0.233893,-28541.1
0.234279,-28522.1
0.234666,-28503.1
0.235052,-28484
0.235439,-28465
0.235826,-28446
0.236212,-28427
0.2366,-28408
0.236987,-28389
0.237375,-28370
0.237762,-28350.9
0.23815,-28331.9
0.238538,-28312.9
0.238926,-28293.9
0.239314,-28274.9
0.239701,-28255.9
0.24009,-28236.8
0.240478,-28217.8
0.240866,-28198.8
0.241255,-28179.8
0.241644,-28160.8
0.242032,-28141.8
0.242422,-28122.8
0.242811,-28103.7
0.2432,-28084.7
0.243589,-28065.7
0.243978,-28046.7
0.244369,-28027.7
0.244757,-28008.7
0.245147,-27989.6
0.245537,-27970.6
0.245927,-27951.6
0.246318,-27932.6
0.246708,-27913.6
0.247099,-27894.6
0.247489,-27875.5
0.247879,-27856.5
0.24827,-27837.5
0.24866,-27818.5
0.249051,-27799.5
0.249442,-27780.5
0.249834,-27761.5
0.250224,-27742.4
0.250616,-27723.4
0.251007,-27704.4
0.251399,-27685.4
0.25179,-27666.4
0.252182,-27647.4
0.252574,-27628.3
0.252966,-27609.3
0.253358,-27590.3
0.253751,-27571.3
0.254143,-27552.3
0.254535,-27533.3
0.254927,-27514.2
0.25532,-27495.2
0.255712,-27476.2
0.256105,-27457.2
0.256499,-27438.2
0.256891,-27419.2
0.257285,-27400.2
0.257678,-27381.1
0.258071,-27362.1
0.258465,-27343.1
0.258858,-27324.1
0.259251,-27305.1
0.259645,-27286.1
0.260039,-27267
0.260433,-27248
0.260827,-27229
